Original,Character,Dialogue,Wordcount
Squall:You should get out of here before you get hurt.,Squall, You should get out of here before you get hurt.,9
Sazh:Would it kill you to lighten up a bit?,Sazh, Would it kill you to lighten up a bit?,8
"Rem:Squall, I'm a soldier just like you.",Rem," Squall, I'm a soldier just like you.",6
Rem:Everyone here has their own reason for fighting. We know what we're doing.,Rem, Everyone here has their own reason for fighting. We know what we're doing.,12
"Cloud:Show off as much as you want, but we have some questions that need answers first.",Cloud," Show off as much as you want, but we have some questions that need answers first.",15
Squall:(Who's showing off?),Squall, (Who's showing off?),2
Cloud:Who's your client? And how do they know about us?,Cloud, Who's your client? And how do they know about us?,9
Squall:That's confidential.,Squall, That's confidential.,1
Sazh:I don't get you at all. What's with the attitude?,Sazh, I don't get you at all. What's with the attitude?,9
Squall:You're the ones not making any sense.,Squall, You're the ones not making any sense.,6
Squall:You're risking your lives solely based on what that moogle told you.,Squall, You're risking your lives solely based on what that moogle told you.,11
"Squall:While in reality, you have no idea what's actually happening in this world right now.",Squall," While in reality, you have no idea what's actually happening in this world right now.",14
"Mog:I'm a messenger of the goddess Materia. It's my duty to protect the planet, kupo!",Mog," I'm a messenger of the goddess Materia. It's my duty to protect the planet, kupo!",14
Cloud:We all have something we want to protect. Isn't that reason enough?,Cloud, We all have something we want to protect. Isn't that reason enough?,11
Squall:Something you want to protect...,Squall, Something you want to protect...,4
"Cloud:Anyway, sorry for stopping you. Later.",Cloud," Anyway, sorry for stopping you. Later.",5
Squall:Stop. You're no match for what's lurking around here.,Squall, Stop. You're no match for what's lurking around here.,8
Vivi:But it's way too dangerous for you to go alone too.,Vivi, But it's way too dangerous for you to go alone too.,10
"Squall:If you're scared, you can stay close to me. Just don't get in my way.",Squall," If you're scared, you can stay close to me. Just don't get in my way.",14
Rem:So you'll join us then?,Rem, So you'll join us then?,4
Squall:I didn't say that. But I'll help you out while you're here.,Squall, I didn't say that. But I'll help you out while you're here.,11
"Squall:Come on, let's go. Things should be easier now that I'm with you.",Squall," Come on, let's go. Things should be easier now that I'm with you.",12
Tifa:Looks like we made it.,Tifa, Looks like we made it.,4
Vivi:It feels good to be outside again.,Vivi, It feels good to be outside again.,6
Squall:Don't relax just yet. We still have to make it through the forest before we reach our destination.,Squall, Don't relax just yet. We still have to make it through the forest before we reach our destination.,17
"Hope:You really know your way around here, don't you?",Hope," You really know your way around here, don't you?",8
"Squall:I'm just going by the information I received from my client. Anyway, be careful. There are monsters up ahead.",Squall," I'm just going by the information I received from my client. Anyway, be careful. There are monsters up ahead.",18
Rem:Sounds like he's really familiar with the area. It's nice having someone you can count on.,Rem, Sounds like he's really familiar with the area. It's nice having someone you can count on.,15
Squall:I never said I trusted him. I'm simply relaying what I was told.,Squall, I never said I trusted him. I'm simply relaying what I was told.,12
Rem:You're risking your life for a client you don't even trust?,Rem, You're risking your life for a client you don't even trust?,10
Squall:...I needed a purpose. I was lost.,Squall, ...I needed a purpose. I was lost.,6
Squall:That's when he came along. Told me he needed my help.,Squall, That's when he came along. Told me he needed my help.,10
Squall:Didn't even ask who I was or where I came from.,Squall, Didn't even ask who I was or where I came from.,10
Hope:So you only trust him because you're contractually obligated...,Hope, So you only trust him because you're contractually obligated...,8
Squall:But I don't think my client would lie since he's counting on my success.,Squall, But I don't think my client would lie since he's counting on my success.,13
"Squall:In that sense, I trust him. That's all.",Squall," In that sense, I trust him. That's all.",7
Tifa:Sounds like you've got a lot on your mind. Reminds me of someone else I know.,Tifa, Sounds like you've got a lot on your mind. Reminds me of someone else I know.,15
Squall:(Hmph... You don't know me.),Squall, (Hmph... You don't know me.),4
Tifa:He can also be a bit awkward.,Tifa, He can also be a bit awkward.,6
Hope:Is that being awkward?,Hope, Is that being awkward?,3
Rem:Everyone has a different way of looking at things. That's what makes us unique.,Rem, Everyone has a different way of looking at things. That's what makes us unique.,13
"Vivi:Yeah, exactly.",Vivi," Yeah, exactly.",1
Squall:...Come on.,Squall, ...Come on.,1
Squall:Let's get out of here before any more monsters show up.,Squall, Let's get out of here before any more monsters show up.,10
"Tifa:Yeah, good idea.",Tifa," Yeah, good idea.",2
Cloud:He's going to get himself killed if he keeps this up.,Cloud, He's going to get himself killed if he keeps this up.,10
Y'shtola:You refer to Squall.,Y'shtola, You refer to Squall.,3
"Rem:You're really worried about him, aren't you?",Rem," You're really worried about him, aren't you?",6
"Cloud:No, I'm worried about us.",Cloud," No, I'm worried about us.",4
Cloud:Who knows where this so-called client is taking us.,Cloud, Who knows where this so-called client is taking us.,8
"Cloud:And the farther we go, the more monsters there are.",Cloud," And the farther we go, the more monsters there are.",9
"Hope:What do you think we should do then? I mean, he seems to be avoiding talking to us.",Hope," What do you think we should do then? I mean, he seems to be avoiding talking to us.",17
"Tifa:Yeah, but it's not like we can pretend everything's okay.",Tifa," Yeah, but it's not like we can pretend everything's okay.",9
Rem:Do you think we can get him to change his mind?,Rem, Do you think we can get him to change his mind?,10
"Y'shtola:That may prove to be difficult. To him, the mission is everything.",Y'shtola," That may prove to be difficult. To him, the mission is everything.",11
Y'shtola:He is not going to turn back until the investigation is complete.,Y'shtola, He is not going to turn back until the investigation is complete.,11
Rem:Squall is one of us. We can't just abandon him.,Rem, Squall is one of us. We can't just abandon him.,9
"Tifa:Then I guess we need to see this through until the end, huh?",Tifa," Then I guess we need to see this through until the end, huh?",12
"Hope:I was about to say the same thing. ...But what about you, Cloud?",Hope," I was about to say the same thing. ...But what about you, Cloud?",12
Cloud:I never said we should turn back. I was just saying we need to be more cautious.,Cloud, I never said we should turn back. I was just saying we need to be more cautious.,16
Tifa:...He said cautiously.,Tifa, ...He said cautiously.,2
Cloud:What's that supposed to mean?,Cloud, What's that supposed to mean?,4
Tifa:Nothing. Cautious is good.,Tifa, Nothing. Cautious is good.,3
Rem:I'm sure there's a reason Squall's in such a hurry.,Rem, I'm sure there's a reason Squall's in such a hurry.,9
Y'shtola:Any clue why?,Y'shtola, Any clue why?,2
Rem:He said he needed a purpose.,Rem, He said he needed a purpose.,5
Rem:So maybe he's trying to make something of himselftrying to find his identity.,Rem, So maybe he's trying to make something of himself—trying to find his identity.,12
Y'shtola:So even Squall has worries.,Y'shtola, So even Squall has worries.,4
Hope:I hope there's something we can do to help.,Hope, I hope there's something we can do to help.,8
"Tifa:Yeah, come on, we have to be there for him.",Tifa," Yeah, come on, we have to be there for him.",9
Cloud:...Not interested.,Cloud, ...Not interested.,1
"Tifa:Yeah, yeah. You keep telling yourself that.",Tifa," Yeah, yeah. You keep telling yourself that.",6
"Rem:Hey, Squall? You're here on a mission, right?",Rem," Hey, Squall? You're here on a mission, right?",7
Rem:You don't need to report back to your client or anything?,Rem, You don't need to report back to your client or anything?,10
Squall:My client is only interested in the Torsions.,Squall, My client is only interested in the Torsions.,7
Squall:How I handle the mission is up to me. That's why I chose to accompany you.,Squall, How I handle the mission is up to me. That's why I chose to accompany you.,15
Y'shtola:And yet you continue to conceal your client's identity.,Y'shtola, And yet you continue to conceal your client's identity.,8
Squall:Like I said,Squall, Like I said—,2
"Y'shtola:""That's confidential.""",Y'shtola," ""That's confidential.""",1
Y'shtola:You fear growing close to others.,Y'shtola, You fear growing close to others.,5
Y'shtola:But I sense the good in youa desire to protect and a great inner zeal.,Y'shtola, But I sense the good in you—a desire to protect and a great inner zeal.,14
Hope:Is everything okay? Everyone's already heading to the next area.,Hope, Is everything okay? Everyone's already heading to the next area.,9
"Rem:Sorry, we'll be right there.",Rem," Sorry, we'll be right there.",4
"Y'shtola:I expect great things from you, Squall.",Y'shtola," I expect great things from you, Squall.",6
"Hope:Um, do you have a second?",Hope," Um, do you have a second?",5
Hope:I was thinking about what you said earlier.,Hope, I was thinking about what you said earlier.,7
Hope:Mog told us that sealing the Torsions would protect this world.,Hope, Mog told us that sealing the Torsions would protect this world.,10
"Hope:And as a result, save our worlds as well.",Hope," And as a result, save our worlds as well.",8
Squall:That's the idea.,Squall, That's the idea.,2
Squall:But there's no way to find out for sure until we return home.,Squall, But there's no way to find out for sure until we return home.,12
Hope:I want to know the truth. I want to know what's really happening.,Hope, I want to know the truth. I want to know what's really happening.,12
"Squall:Sorry, but I don't have all the answers either.",Squall," Sorry, but I don't have all the answers either.",8
Hope:Then why are you fighting? I'm sure you're not just following orders.,Hope, Then why are you fighting? I'm sure you're not just following orders.,11
Squall:I don't fight for some great cause like saving the world or anything.,Squall, I don't fight for some great cause like saving the world or anything.,12
Squall:I'm just trying to survive to see my friends again. That's all.,Squall, I'm just trying to survive to see my friends again. That's all.,11
Hope:They must mean a lot to you.,Hope, They must mean a lot to you.,6
"Squall:Yeah. Now come on, let's go. You need my help, right?",Squall," Yeah. Now come on, let's go. You need my help, right?",10
"Hope:To be reunited with your friends, huh?",Hope," To be reunited with your friends, huh?",6
Hope:Maybe I just need to keep my eyes front. There's no going back after all.,Hope, Maybe I just need to keep my eyes front. There's no going back after all.,14
Mog:Kupo?,Mog, Kupo?,1
"Y'shtola:Aye, how peculiar.",Y'shtola," Aye, how peculiar.",2
Sazh:Something the matter? I thought we were almost out of here.,Sazh, Something the matter? I thought we were almost out of here.,10
Y'shtola:We would be if this were a normal forest.,Y'shtola, We would be if this were a normal forest.,8
"Tifa:Wait, are you saying it's not?",Tifa," Wait, are you saying it's not?",5
"Mog:It's almost like we're trapped inside, kupo.",Mog," It's almost like we're trapped inside, kupo.",6
Hope:We're trapped? You mean we can't leave!?,Hope, We're trapped? You mean we can't leave!?,6
"Y'shtola:Rather, we are not allowed to leave.",Y'shtola," Rather, we are not allowed to leave.",6
Sazh:I'm not followin' you.,Sazh, I'm not followin' you.,3
Tifa:You mean someone intentionally trapped us in here?,Tifa, You mean someone intentionally trapped us in here?,7
"Y'shtola:Or perhaps ""something."" Escaping may prove to be quite arduous.",Y'shtola," Or perhaps ""something."" Escaping may prove to be quite arduous.",9
"Mog:Someone's in trouble, kupo!",Mog," Someone's in trouble, kupo!",3
Hope:That voice! Is that!?,Hope, That voice! Is that—!?,3
Sazh:Hope! *Sigh* Can't take your eyes off him for a second.,Sazh, Hope! *Sigh* Can't take your eyes off him for a second.,10
"Tifa:C'mon, we have to go after him!",Tifa," C'mon, we have to go after him!",6
Warrior of Light:It appears that was the last of them.,Warrior of Light, It appears that was the last of them.,7
"???:I mean, you're not one of the bad guys...right?",???," I mean, you're not one of the bad guys...right?",8
Warrior of Light:We bear no animosity toward those who wish us no harm.,Warrior of Light, We bear no animosity toward those who wish us no harm.,10
Warrior of Light:Are you hurt?,Warrior of Light, Are you hurt?,2
???:I'm fine. That was a close one! By the way...who are you guys?,???, I'm fine. That was a close one! By the way...who are you guys?,12
"Hope:It looks like there aren't any more monsters here. Vanille, are you okay?",Hope," It looks like there aren't any more monsters here. Vanille, are you okay?",12
"Sazh:Man, kids these days think they'e invincible. Glad you're okay though.",Sazh," Man, kids these days think they'e invincible. Glad you're okay though.",10
Vanille:Hope! Sazh!,Vanille, Hope! Sazh!,1
"Mog:You're friends? Introduce us, kupo!",Mog," You're friends? Introduce us, kupo!",4
Hope:She's a friend from back home.,Hope, She's a friend from back home.,5
Vanille:I'm Vanille. Nice to meet you.,Vanille, I'm Vanille. Nice to meet you.,5
Vanille:So...where are we?,Vanille, So...where are we?,2
"Mog:Come on, I'll explain on the way, kupo!",Mog," Come on, I'll explain on the way, kupo!",7
Vanille:Wait... Do you mean I can come with you?,Vanille, Wait... Do you mean I can come with you?,8
Warrior of Light:It is far too dangerous for you to travel alone. You may accompany us until we reach a safe,Warrior of Light, It is far too dangerous for you to travel alone. You may accompany us until we reach a safe—,18
"Mog:You also bear the light, kupo! You should come with us!",Mog," You also bear the light, kupo! You should come with us!",10
Vanille:The light? Hold on. Is that a moogle?,Vanille, The light? Hold on. Is that a moogle?,7
"Sazh:What can I say? You've missed out on a lot. But for now, we could really use your help.",Sazh," What can I say? You've missed out on a lot. But for now, we could really use your help.",18
Vanille:Really? Count me in.,Vanille, Really? Count me in.,3
"Mog:You can trust me, kupo!",Mog," You can trust me, kupo!",4
Vanille:A friend of Sazh and Hope's is a friend of mine.,Vanille, A friend of Sazh and Hope's is a friend of mine.,10
Y'shtola:What a peculiar girl.,Y'shtola, What a peculiar girl.,3
Sazh:For real? What's so weird about trusting others?,Sazh, For real? What's so weird about trusting others?,7
Y'shtola:I do not think it a bad thing.,Y'shtola, I do not think it a bad thing.,7
"Y'shtola:In any event, the force preventing us from leaving the forest has weakened.",Y'shtola," In any event, the force preventing us from leaving the forest has weakened.",12
Vanille:We're leaving already? But there are still areas I haven't checked out yet.,Vanille, We're leaving already? But there are still areas I haven't checked out yet.,12
"Vanille:This forest is huge! Who knows what wonderful treasures await us? Besides, I feel like something's calling me!",Vanille," This forest is huge! Who knows what wonderful treasures await us? Besides, I feel like something's calling me!",17
"Sazh:And if we get lost? Then what? Listen, we need to regroup and Aw, forget it. You've already made up your mind.",Sazh," And if we get lost? Then what? Listen, we need to regroup and— Aw, forget it. You've already made up your mind.",21
"Vanille:I knew you'd understand, Sazh. All right then, let the treasure hunt begin!",Vanille," I knew you'd understand, Sazh. All right then, let the treasure hunt begin!",12
"Vanille:Hey, so... Is someone going to tell me where we are yet?",Vanille," Hey, so... Is someone going to tell me where we are yet?",11
"Cecil:We still owe you an explanation, don't we?",Cecil," We still owe you an explanation, don't we?",7
"Mog:Oh yeah, kupo! Allow me to explain.",Mog," Oh yeah, kupo! Allow me to explain.",6
"Mog:This is an illusionary world created by the gods, but it's being corrupted by the Torsions.",Mog," This is an illusionary world created by the gods, but it's being corrupted by the Torsions.",15
Mog:That's why I'm on a journey to make friends with those who are blessed with the light to save it.,Mog, That's why I'm on a journey to make friends with those who are blessed with the light to save it.,19
Cecil:Those Torsions threaten to erode each of our worlds as well.,Cecil, Those Torsions threaten to erode each of our worlds as well.,10
"Mog:Exactly! Which is why this is such an important journey for us all, kupo!",Mog," Exactly! Which is why this is such an important journey for us all, kupo!",13
Vanille:I get that something has to be done...,Vanille, I get that something has to be done...,7
Vanille:But why would such powerful gods need our help to fix things?,Vanille, But why would such powerful gods need our help to fix things?,11
"Yuna:Now that you mention it... If our worlds really are in trouble, why would we need to come here to save them?",Yuna," Now that you mention it... If our worlds really are in trouble, why would we need to come here to save them?",21
"Mog:Because the gods aren't all-powerful and in control of everything, kupo.",Mog," Because the gods aren't all-powerful and in control of everything, kupo.",10
"Mog:Besides, it's not like they created this world to be destroyed. They made it for a reason.",Mog," Besides, it's not like they created this world to be destroyed. They made it for a reason.",16
"Mog:That's why we desperately need your help to save it, kupo.",Mog," That's why we desperately need your help to save it, kupo.",10
Vanille:Hm... Alright then.,Vanille, Hm... Alright then.,2
"Mog:Does it make sense now, kupo?",Mog," Does it make sense now, kupo?",5
Vanille:Nope! But at least I'm certain it doesn't make sense now.,Vanille, Nope! But at least I'm certain it doesn't make sense now.,10
"Yuna:For now, I guess all we can do is focus on what's in front of us. We have to seal the Torsions.",Yuna," For now, I guess all we can do is focus on what's in front of us. We have to seal the Torsions.",21
"Vivi:Yeah, we don't have any other choice if we want to protect our homes.",Vivi," Yeah, we don't have any other choice if we want to protect our homes.",13
Vanille:Huh... So that's what this is all about.,Vanille, Huh... So that's what this is all about.,7
"Mog:Yep! So there's no time to waste, kupo!",Mog," Yep! So there's no time to waste, kupo!",7
"Vanille:...Okay, ready to go then?",Vanille," ...Okay, ready to go then?",4
Vivi:Let's be careful we don't get lost.,Vivi, Let's be careful we don't get lost.,6
"Cecil:Mog, lead the way, if you could.",Cecil," Mog, lead the way, if you could.",6
Yuna:We're counting on you.,Yuna, We're counting on you.,3
Mog:Kupo!? R-right this way.,Mog, Kupo!? R-right this way.,3
"Vanille:Things don't always go as planned...even for gods, huh?",Vanille," Things don't always go as planned...even for gods, huh?",8
Vanille:I know the feeling.,Vanille, I know the feeling.,3
Vanille:...I really hope there's some way I can help save this world.,Vanille, ...I really hope there's some way I can help save this world.,11
Yda:Hrm. This forest truly is confounding.,Yda, Hrm. This forest truly is confounding.,5
Vanille:But you sound like you might know where we are!,Vanille, But you sound like you might know where we are!,9
"Yda:Well, I could bring us back to whence we started. I've trekked through a wood or two in my day.",Yda," Well, I could bring us back to whence we started. I've trekked through a wood or two in my day.",19
Yuffie:What a relief. I'd hate to get stuck here forever.,Yuffie, What a relief. I'd hate to get stuck here forever.,9
Rem:Are you okay? You can wait outside the forest if you're worried about getting lost.,Rem, Are you okay? You can wait outside the forest if you're worried about getting lost.,14
Yuffie:And let you hog all the treasure? Not a chance.,Yuffie, And let you hog all the treasure? Not a chance.,9
Yuffie:The treasure you told us about! You said it was callin' you.,Yuffie, The treasure you told us about! You said it was callin' you.,11
Vanille:Oh yeah... I guess I did say something like that.,Vanille, Oh yeah... I guess I did say something like that.,9
Yuffie:Must be something amazing for you to feel it calling you from so far away.,Yuffie, Must be something amazing for you to feel it calling you from so far away.,14
Rem:I just hope it's nothing dangerous.,Rem, I just hope it's nothing dangerous.,5
"Vanille:Well, uh... Let's hope for the best!",Vanille," Well, uh... Let's hope for the best!",6
"Yuffie:C'mon, have some faith! You're the one who brought it up, after all.",Yuffie," C'mon, have some faith! You're the one who brought it up, after all.",12
"Vanille:Well, it's true I feel like something's calling me.",Vanille," Well, it's true I feel like something's calling me.",8
Yda:Perhaps that something is why we couldn't leave the forest earlier.,Yda, Perhaps that something is why we couldn't leave the forest earlier.,10
Vanille:I guess we'll soon find out.,Vanille, I guess we'll soon find out.,5
"Yda:That we will! Whatever it is, I just hope it's not alive!",Yda," That we will! Whatever it is, I just hope it's not alive!",11
Rem:You two are starting to scare me.,Rem, You two are starting to scare me.,6
"Yuffie:Yeah, maybe I will go back and wait.",Yuffie," Yeah, maybe I will go back and wait.",7
"Vanille:Come on, we've come this far. Let's see this through together.",Vanille," Come on, we've come this far. Let's see this through together.",10
"Yuffie:Y-you're just trying to trick me into taking point, aren't you!",Yuffie," Y-you're just trying to trick me into taking point, aren't you!",10
"Y'shtola:Everyone has become rather comfortable around each other, haven't they?",Y'shtola," Everyone has become rather comfortable around each other, haven't they?",9
Edge:You won't hear me complain.,Edge, You won't hear me complain.,4
Y'shtola:Why don't you join them?,Y'shtola, Why don't you join them?,4
Edge:Sometimes it's nice to just sit back and enjoy the view.,Edge, Sometimes it's nice to just sit back and enjoy the view.,10
"Edge:Gotta let the ladies have their fun, you know?",Edge," Gotta let the ladies have their fun, you know?",8
Y'shtola:...Aren't we the noble one?,Y'shtola, ...Aren't we the noble one?,4
Rem:This pendant's drawing in mana. Maybe this was what trapped us in the forest?,Rem, This pendant's drawing in mana. Maybe this was what trapped us in the forest?,13
Vivi:It's kind of creepy. I don't like it.,Vivi, It's kind of creepy. I don't like it.,7
"Rem:Yeah, we should probably leave it alone.",Rem," Yeah, we should probably leave it alone.",6
"Vanille:What are you two whispering about? Hey, check it out!",Vanille," What are you two whispering about? Hey, check it out!",9
Vanille:So? How does it look?,Vanille, So? How does it look?,4
Vivi:What are you doing!?,Vivi, What are you doing!?,3
Vanille:What do you mean?,Vanille, What do you mean?,3
Rem:Huh? What happened to the dark aura?,Rem, Huh? What happened to the dark aura?,6
Vivi:It's gone... But why?,Vivi, It's gone... But why?,3
"Vanille:""Dark aura""? What are you talking about? It's just a cute pendant. See?",Vanille," ""Dark aura""? What are you talking about? It's just a cute pendant. See?",12
"Mog:They say some items in this world choose their owner. It looks like that one has taken a liking to you, kupo.",Mog," They say some items in this world choose their owner. It looks like that one has taken a liking to you, kupo.",21
"Sazh:Or maybe you scared off the ""dark aura"" with your rainbows-and-sunshine attitude.",Sazh," Or maybe you scared off the ""dark aura"" with your rainbows-and-sunshine attitude.",11
"Vanille:Sazh, maybe it's your turn to wear this pendant. Let's see how the dark aura likes you!",Vanille," Sazh, maybe it's your turn to wear this pendant. Let's see how the dark aura likes you!",16
"Sazh:Okay, okay! You win. You know magic and I don't get along.",Sazh," Okay, okay! You win. You know magic and I don't get along.",11
"Y'shtola:Not a terribly adventurous spirit, I see.",Y'shtola," Not a terribly adventurous spirit, I see.",6
Sazh:You can't afford to take any chances at my age.,Sazh, You can't afford to take any chances at my age.,9
Vanille:You take chances all the time though. Especially when it involves your family.,Vanille, You take chances all the time though. Especially when it involves your family.,12
"Sazh:Guess we're not that different then, huh?",Sazh," Guess we're not that different then, huh?",6
Vanille:Yeah... I wonder how everyone's doing back home.,Vanille, Yeah... I wonder how everyone's doing back home.,7
"Rem:Well, you were reunited with Sazh and Hope in this world.",Rem," Well, you were reunited with Sazh and Hope in this world.",10
"Rem:Who knows? Maybe it won't be long before you see your family again, too.",Rem," Who knows? Maybe it won't be long before you see your family again, too.",13
"Y'shtola:Aye, now is not the time for sorrow.",Y'shtola," Aye, now is not the time for sorrow.",7
Vanille:Was it that obvious? You're right. I shouldn't worry.,Vanille, Was it that obvious? You're right. I shouldn't worry.,8
"Vivi:Besides, you have us now. We're here for you.",Vivi," Besides, you have us now. We're here for you.",8
Vanille:Thank you so much! I'm looking forward to getting to know you all.,Vanille, Thank you so much! I'm looking forward to getting to know you all.,12
???:Grasslands as far as the eye can see and not a casino or pub in sight. Wish there was at least a beautiful lady to keep me company.,???, Grasslands as far as the eye can see and not a casino or pub in sight. Wish there was at least a beautiful lady to keep me company.,27
???:If only I had my airship.,???, If only I had my airship.,5
Mog:Kupo! I can sense the light coming from that man!,Mog, Kupo! I can sense the light coming from that man!,9
"Setzer:Heh, wasn't expecting to run into you guys here.",Setzer," Heh, wasn't expecting to run into you guys here.",8
"Shadow:Setzer, you too? How long have you been in this world?",Shadow," Setzer, you too? How long have you been in this world?",10
"Setzer:What do you mean ""this world""?",Setzer," What do you mean ""this world""?",5
Shadow:This moogle knows more about it than I do. He can fill you in.,Shadow, This moogle knows more about it than I do. He can fill you in.,13
"Mog:Leave it to me, kupo!",Mog," Leave it to me, kupo!",4
Setzer:Whew... Sounds like I've gotten myself in a real mess this time.,Setzer, Whew... Sounds like I've gotten myself in a real mess this time.,11
Setzer:And you say you want me to help you save the world?,Setzer, And you say you want me to help you save the world?,11
Hope:That's right.,Hope, That's right.,1
"Terra:The world will be destroyed if we don't do something. Setzer, please come with us.",Terra," The world will be destroyed if we don't do something. Setzer, please come with us.",14
"Setzer:Thanks, but no thanks.",Setzer," Thanks, but no thanks.",3
Mog:Kupo!? Why?,Mog, Kupo!? Why?,1
"Setzer:No casinos, no pubs... There's nothing to live for here, so why risk my life?",Setzer," No casinos, no pubs... There's nothing to live for here, so why risk my life?",14
"Mog:Awww, kupo...",Mog," Awww, kupo...",1
"Setzer:I'm a wandering gambler. I do what I want, going wherever the wind takes me.",Setzer," I'm a wandering gambler. I do what I want, going wherever the wind takes me.",14
"Shadow:Hmph. You never change, even if the world does.",Shadow," Hmph. You never change, even if the world does.",8
Setzer:Life is a series of gambles. You've gotta go with your gut.,Setzer, Life is a series of gambles. You've gotta go with your gut.,11
Setzer:I just want to be the one who rolls the dice.,Setzer, I just want to be the one who rolls the dice.,10
"Mog:Why do you have to be so difficult, kupo?",Mog," Why do you have to be so difficult, kupo?",8
"Setzer:Well, good luck with that saving the world thing. Who knows? Maybe we'll meet again one day.",Setzer," Well, good luck with that saving the world thing. Who knows? Maybe we'll meet again one day.",16
Hope:What a mysterious person. Are you sure we can trust him?,Hope, What a mysterious person. Are you sure we can trust him?,10
Shadow:He would no doubt be an excellent addition to our cause.,Shadow, He would no doubt be an excellent addition to our cause.,10
Shadow:Perhaps an airship really could tilt things in our favor.,Shadow, Perhaps an airship really could tilt things in our favor.,9
"???:Well, I'm impressed.",???," Well, I'm impressed.",2
Setzer:I watched you take care of those monsters.,Setzer, I watched you take care of those monsters.,7
"Mog:You're back, kupo! It's nice to see you again!",Mog," You're back, kupo! It's nice to see you again!",8
"Warrior of Light:Setzer, was it? Have you decided to accept our proposal?",Warrior of Light," Setzer, was it? Have you decided to accept our proposal?",9
Setzer:Not quite. I'm just trying to figure something out.,Setzer, Not quite. I'm just trying to figure something out.,8
Hope:What do you mean?,Hope, What do you mean?,3
Setzer:Why do you fight? What are you risking your lives for?,Setzer, Why do you fight? What are you risking your lives for?,10
Setzer:There's not a single town or person in this world. Nothing here's worth fighting for.,Setzer, There's not a single town or person in this world. Nothing here's worth fighting for.,14
Warrior of Light:We are no different from youwarriors from another world.,Warrior of Light, We are no different from you—warriors from another world.,8
"Warrior of Light:Naturally, we all have homes we must return to and dreams yet to be fulfilled. Surely that is worth fighting for.",Warrior of Light," Naturally, we all have homes we must return to and dreams yet to be fulfilled. Surely that is worth fighting for.",20
"Setzer:Chasing after your dreams, huh?",Setzer," Chasing after your dreams, huh?",4
Yuffie:Exactly! Take me for example. My dream's to one day steal enough treasure to restore glory to my village!,Yuffie, Exactly! Take me for example. My dream's to one day steal enough treasure to restore glory to my village!,18
"Vivi:When I get home, I wanna go to the theater and watch plays every day.",Vivi," When I get home, I wanna go to the theater and watch plays every day.",14
"Hope:No matter what happens, I can't let myself give upfor the sake of my friends and for myself as well. I'm using this opportunity to get stronger.",Hope," No matter what happens, I can't let myself give up—for the sake of my friends and for myself as well. I'm using this opportunity to get stronger.",26
Warrior of Light:We continue our journey because each of us has something we're looking to accomplish. Is that not enough?,Warrior of Light, We continue our journey because each of us has something we're looking to accomplish. Is that not enough?,17
"Setzer:All right, you've got me.",Setzer," All right, you've got me.",4
"Setzer:I mean, why not? Consider my life a chip in your pile.",Setzer," I mean, why not? Consider my life a chip in your pile.",11
Terra:Do you mean...!?,Terra, Do you mean...!?,2
Setzer:What you said reminded me that I still have a dream like no other. I was a fool.,Setzer, What you said reminded me that I still have a dream like no other. I was a fool.,17
"Setzer:Sitting around isn't gonna solve anything. You know, sometimes you've just gotta roll the dice and hope for the best.",Setzer," Sitting around isn't gonna solve anything. You know, sometimes you've just gotta roll the dice and hope for the best.",19
